uf,ano_inicial,ano_final,v0,v1,cagr
AC,2010,2025,30.0,150.0,0.11326357684480337
SE,2010,2025,110.0,533.0,0.11093581557047916
RN,2010,2025,164.0,758.0,0.10744378574271485
AL,2010,2025,139.0,613.0,0.10398467548103274
PA,2010,2025,321.0,1169.0,0.08998527744953777
PI,2010,2025,218.0,730.0,0.08390467911678567
RO,2010,2025,95.0,317.0,0.08365002113064257
MA,2010,2025,252.0,766.0,0.0769326615756094
AP,2010,2025,44.0,132.0,0.07598962472534576
ES,2010,2025,332.0,932.0,0.07123607254227604
PB,2010,2025,345.0,968.0,0.07119963860023537
MT,2010,2025,242.0,646.0,0.06764730992035739
MS,2010,2025,252.0,595.0,0.058947497404926
TO,2010,2025,129.0,304.0,0.058812171080592224
SC,2010,2025,690.0,1563.0,0.056024496215383524
DF,2010,2025,412.0,917.0,0.0547870956875216
RR,2010,2025,64.0,124.0,0.045079785381535675
SP,2010,2025,445.86,748.309,0.03512348922253161
AM,2010,2025,419.0,619.0,0.026356983654471255
PE,2010,2025,729.0,871.1279999999999,0.011945126029822895
BA,2010,2025,928.0,1059.437,0.008869851468958023
CE,2010,2025,585.0,607.0360000000001,0.002468124158816698
RS,2010,2025,1770.0,1520.0,-0.01009993043523194
GO,2010,2025,704.0,589.185,-0.011799047479147284
PR,2010,2025,1054.0,611.097,-0.03568711586342066
RJ,2010,2025,1983.0,1095.3220000000001,-0.038798131346772013
MG,2010,2025,1697.0,716.499,-0.055861770727896
