uf,ano,quantidade
AC,2010,30.0
AC,2011,28.0
AC,2012,62.0
AC,2013,52.0
AC,2014,113.0
AC,2015,93.0
AC,2016,107.0
AC,2017,116.0
AC,2018,175.0
AC,2019,181.0
AC,2020,127.0
AC,2021,167.0
AC,2022,179.0
AC,2023,268.0
AC,2024,246.0
AC,2025,150.0
AL,2010,139.0
AL,2011,207.0
AL,2012,281.0
AL,2013,286.0
AL,2014,276.0
AL,2015,234.0
AL,2016,240.0
AL,2017,366.0
AL,2018,347.0
AL,2019,467.0
AL,2020,312.0
AL,2021,567.0
AL,2022,446.0
AL,2023,601.0
AL,2024,721.0
AL,2025,613.0
AM,2010,419.0
AM,2011,431.0
AM,2012,341.0
AM,2013,387.0
AM,2014,443.0
AM,2015,416.0
AM,2016,485.0
AM,2017,576.0
AM,2018,572.0
AM,2019,679.0
AM,2020,497.0
AM,2021,793.0
AM,2022,794.0
AM,2023,771.0
AM,2024,759.0
AM,2025,619.0
AP,2010,44.0
AP,2011,52.0
AP,2012,127.0
AP,2013,112.0
AP,2014,101.0
AP,2015,100.0
AP,2016,111.0
AP,2017,171.0
AP,2018,185.0
AP,2019,244.0
AP,2020,145.0
AP,2021,184.0
AP,2022,177.0
AP,2023,195.0
AP,2024,186.0
AP,2025,132.0
BA,2010,928.0
BA,2011,967.0
BA,2012,993.0
BA,2013,1114.0
BA,2014,1026.0
BA,2015,1029.0
BA,2016,1223.0
BA,2017,1636.0
BA,2018,1659.0
BA,2019,840.153
BA,2020,1359.0
BA,2021,960.518
BA,2022,788.521
BA,2023,954.548
BA,2024,1289.9569999999999
BA,2025,1059.437
CE,2010,585.0
CE,2011,577.0
CE,2012,565.0
CE,2013,613.0
CE,2014,600.0
CE,2015,734.0
CE,2016,818.0
CE,2017,967.0
CE,2018,1010.0
CE,2019,1125.0
CE,2020,1099.0
CE,2021,1424.0
CE,2022,1575.0
CE,2023,1509.0
CE,2024,788.289
CE,2025,607.0360000000001
DF,2010,412.0
DF,2011,597.0
DF,2012,452.0
DF,2013,588.0
DF,2014,401.0
DF,2015,626.0
DF,2016,581.0
DF,2017,622.0
DF,2018,613.0
DF,2019,777.0
DF,2020,624.0
DF,2021,1098.0
DF,2022,867.0
DF,2023,887.0
DF,2024,1066.0
DF,2025,917.0
ES,2010,332.0
ES,2011,365.0
ES,2012,312.0
ES,2013,448.0
ES,2014,463.0
ES,2015,488.0
ES,2016,520.0
ES,2017,559.0
ES,2018,626.0
ES,2019,773.0
ES,2020,661.0
ES,2021,837.0
ES,2022,952.0
ES,2023,975.0
ES,2024,1186.0
ES,2025,932.0
GO,2010,704.0
GO,2011,685.0
GO,2012,812.0
GO,2013,846.0
GO,2014,857.0
GO,2015,974.0
GO,2016,1074.0
GO,2017,1321.0
GO,2018,1370.0
GO,2019,1512.0
GO,2020,1234.0
GO,2021,1990.0
GO,2022,1849.0
GO,2023,829.102
GO,2024,976.427
GO,2025,589.185
MA,2010,252.0
MA,2011,301.0
